,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_prod,-1.4236,0.2321,-1.845,-0.9704,0.0046,0.0026,2537.3039,3961.4876,1.0014
log_bbb,-0.5106,0.1476,-0.7801,-0.2285,0.0029,0.0017,2525.9187,4080.8527,1.0021
log_deg,-4.3536,0.1862,-4.7053,-4.0116,0.0041,0.0023,2085.9315,3536.1465,1.0021
