Baseline,1 WK,1 WK + TEV,3 WK,3 WK + TEV
33.90000,2802268.00000,242378.70,960461.10,103026.80
38.76667,2894214.00000,263517.50,2631703.00,162952.10
35.70000,2194305.00000,208779.10,1214264.00,91478.43
29.76667,1049506.00000,87455.23,995881.70,39084.70
31.13333,2009543.00000,,770978.40,
30.23333,1490635.00000,,1268330.00,
32.66667,1696415.00000,,1876317.00,
40.63333,1868366.00000,,2045427.00,
