,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_prod,-2.052,0.2207,-2.4771,-1.6391,0.0055,0.003,1627.9923,2833.4957,1.0032
log_bbb,-0.5131,0.1506,-0.7983,-0.2365,0.0034,0.0018,1917.4667,3562.8952,1.0032
log_deg,-4.9144,0.1722,-5.2178,-4.5777,0.0053,0.0037,1069.571,2170.9226,1.0037
